,platform_num,date,content
260,4,2022-01-07,유튜브에 나오는 데이터마이닝 전문가분도 산업공학과 출신이더라
261,4,2020-05-13,근대 산업공학과는 머하는데임??
262,4,2021-08-15,"통계학과, 수학과, 컴퓨터과학과, 전자공학과, 산업공학과 가시긔"
263,4,2019-02-13,아주대 산업공학과 vs 항공대 항공전자정보공학부
264,4,2020-08-02,혹시 산업공학과 생각하는 새끼 있으면
265,4,2020-07-11,산업공학과 인기학과임?
266,4,2020-05-13,건대 산업공학과보다 아웃풋 좋은 산업공학과 있냐?
267,4,2021-02-15,문과-> 산업공학과 편입해도 3년 해야됨?
268,4,2021-06-18,부산대 산업공학과 계획
269,4,2020-02-20,요즘 산업공학과 어때?
270,4,2021-11-24,동국대 산업공학과 x민성 악력78
271,4,2019-01-19,전남대 산업공학과 vs 숭실대 산업공학과
272,4,2021-12-19,산업공학과 취직 잘 됨?
273,4,2019-08-22,여기 산업공학과 괜찮나요
274,4,2021-08-14,산업공학과 << 이도저도 아닌 병신 짬뽕과 ㅋㅋ
275,4,2020-09-01,통계복전 산업공학과가 니들 통계점수 정리해준다
276,4,2021-01-01,여기서 취업관련 얘기해도 되나요 산업공학과로 금융관련 일 하는거 어떰?
277,4,2020-04-27,"""아주대 산업공학과""도 아주대 공대 버프 지린다"
278,4,2021-10-11,산업공학과 vs 컴퓨터공학과
279,4,2020-03-08,나 인하대 산업공학과 출신인데 쿠팡에 말뚝 박을까?
280,4,2020-09-07,전국의 통계학과 산업공학과 컴퓨터공학과 네이버 카카오 등등
281,4,2021-12-16,"씨발 산업공학과 가고 싶어,,"
282,4,2021-11-25,산업경영공학과랑 경영학과랑 어디가 취업 더 잘됨?
283,4,2019-11-07,지방ㄸ대 컴공 ㅡ> 편입 인서울 중위권 컴공 or 산업공학과
284,4,2021-02-06,통계학 학부 > 산업공학과 석사...?
285,4,2019-11-15,애들아 산업공학과로 와라 ㅋㅋ
286,4,2019-01-23,산업공학과는 떡상중인 과냐??
287,4,2020-09-04,왜 산업공학과 왔지 ㅋㅋ....
288,4,2022-01-01,산업공학과 가서 쇼앤프룹 할것.
289,4,2021-10-27,산업공학과 다니시거나 희망하시는 분 계신가요
290,4,2022-01-01,부산대 산업공학과 취업현황
291,4,2020-03-02,인하대 산업공학과 2학년 올라가는데 진로추천좀
292,4,2021-11-30,공대에 산업공학과는 뭐하는 과인가요
293,4,2019-07-28,23살 좆문대 산업공학과 구제좀 부탁드립니다....
294,4,2019-12-18,가천대 산업공학과
295,4,2021-12-13,산업경영공학과 < 근본없어보임 경영ㆍ경제 < 근본있어보임
296,4,2019-02-24,졷지잡대 산업공학과 채용공고 답이없네
297,4,2020-02-08,명지대 산업공학과 한국외대 산업공학과
298,4,2019-01-31,한양대 에리카 교통물류공학 vs 외룡대 산업경영 공학과 4년장학
299,4,2020-06-19,산업공학과 질문도 받아주나
300,4,2020-10-10,산업공학과 인식 어떤가요?
301,4,2021-07-07,화학공학과 vs 산업공학과 취업
302,4,2021-12-16,산업공학과 가고 싶어 크아앙
303,4,2021-12-16,"크앙 산업공학과 가고 싶어,,"
304,4,2020-07-02,전남대 산업공학과 및 전남대 수시등급
305,4,2021-10-10,산업공학과같은과가 ㅈㄴ웃김
306,4,2021-10-20,내 인생최고실수: 산업공학과간거
307,4,2021-01-04,형들 산업공학과에서 금융공기업 준비하려면
308,4,2019-12-06,천안캠 편입 산업공학과 원서썼다..
309,4,2020-10-28,19년 하반기 인하대 산업공학과(학점 3.5) 서류합격 표본.jpg
310,4,2020-11-09,프라임칼리지 산업공학과
311,4,2021-12-11,서울대 산업공학과가 미친듯이 가고싶다
312,4,2021-08-03,건동홍 산업공학과인데 중견 품질가려면 스팩 어느정도 맞춰야함?
313,4,2019-12-17,산업공학과 여자 좀 있으?
314,4,2020-02-11,아주대 산업공학과 합격생을 찾습니다
315,4,2019-01-22,산업공학과는 중위권대학은 가지마십시오.
316,4,2019-09-01,전남대 산업공학과 vs 전북대 전기공학과
317,4,2021-10-24,산업공학과는 뭐하는 학과인지?
318,4,2020-08-10,컴퓨터 못 하는데 산업공학과 가면 거기서 배우면 되냐
319,4,2020-08-27,산업공학과 노트북좀 골라주십쇼
320,4,2020-01-01,산업공학과 별로라는 새끼들 90%가 급식이나 지잡임
321,4,2021-12-25,한양대학교 산업공학과 가고싶다.
322,4,2019-03-01,나 인하대 경제학과 신입생인데 산업공학과로 전과하는게 무적권좋은거냐??
323,4,2021-03-09,"산업공학과 인식이 거의 농대,지구환경,인문대급임?"
324,4,2021-11-03,산업공학과로 전과해야겠다
325,4,2020-10-14,팀쿡이 후루꾸 산업공학과 출신에 재고관리로 수익율 끌어올린 애라며
326,4,2019-08-12,산업공학과인데 취업 가능하냐..
327,4,2019-12-18,산업공학과가 정확히 뭐하는 과냐
328,4,2021-10-04,중앙대 산업공학과에가고만싶구나…
329,4,2019-11-05,요즘 화학공학과를 보면 산업안전공학이나 환경공학이 나을 지경인것 같음
330,4,2020-05-12,산업공학과 별로임?
331,4,2021-12-19,전과테크 탄다면 산업공학과 가고싶음
332,4,2019-12-31,경영학과나 산업공학과만 들어오셈
333,4,2021-04-29,전북대 산업정보시스템공학과 vs 전남대 산업공학과
334,4,2021-11-23,산업공학과는 뭐 배우는곳임?
335,4,2021-06-07,지거국 산업공학과인데 ㅈ된건가요
336,4,2019-04-07,노베이스 문돌이가 산업공학과 전과하면 3년만에 졸업 가능?
337,4,2021-11-09,경영학과vs산업공학과
338,4,2021-09-06,산업공학과 형님들 ㅜㅜ
339,4,2021-08-24,아빠가 서울대 산업공학과 출신이라 서울대출신 남자 아니면 안 사귐
340,4,2022-01-19,산업경영공학과에서 상경계 복전하면 할 만함?
341,4,2020-01-20,아니 산업공학과는 왜 물리안배움
342,4,2019-07-14,과는 산업공학과인데 코딩 잘하면 메리트있냐
343,4,2020-01-15,산업공학과 전입 경쟁률 1.1인데
344,4,2020-10-03,산업공학과가 그리 취업 안되나요?
345,4,2021-05-04,4년제 전기과랑 산업 경영 공학과 다니는 친구랑
346,4,2020-06-07,다음에 딸 자격증 추천좀(산업공학과)
347,4,2021-03-01,공대 (산업공학과) 석사 지원 하는데 교수 컨택...
348,4,2021-11-30,건국대 산업공학과 vs 홍대 자전or컴공
349,4,2020-10-28,인하대 산업공학과 19년 하반기 서류합격 정리.jpg
350,4,2021-11-30,건국대 산업공학과 vs 홍익대 자전or컴공
351,4,2021-10-20,산업공학과 난이도가 어느정도냐?
352,4,2020-03-02,산업공학과 인식 별로인가요?
353,4,2019-07-20,전남대 산업공학과 vs 고분자공학과
354,4,2019-03-03,산업공학과 지망 생기부 어떻게쓸까
355,4,2019-01-25,나 서일대 산업공학과 나왓는데 ㅅㅌㅊ냐?
356,4,2020-07-12,산업공학과 추천 보직
357,4,2019-05-28,도대체 어떤새끼가 산업공학과 개꿀이라했냐?
358,4,2021-12-17,인하대 산업경영공학과 vs 경희대 응용수학과
359,4,2019-01-21,고분자공학과 vs 산업공학과
360,4,2019-01-24,금오공대 산업공학부 vs 전남대 산업공학과
361,4,2021-08-03,산업공학과 입결
362,4,2021-02-23,인서울 하위권 산업공학과인데 좆된건가요?
363,4,2020-01-05,부산대 산업공학과인데 전자공학으로 전과하고싶다 슈발
364,4,2020-03-03,산업공학과 인식 별로인가요?
365,4,2019-12-04,산업공학과 가면 뭐배움?
366,4,2021-08-25,산업공학과가 컴공보다 코딩 더 많이 배운다면서?
367,4,2021-12-24,동미대 정보통신공학과 vs 명문대 산업경영공학과
368,4,2019-12-24,건국대 산업공학과 인문학관 306호 시발
369,4,2020-02-13,"현대자동차 사장, 아주대 산업공학과 졸업"
370,4,2020-10-02,산업공학과 취업 별로인가요..?
371,4,2019-09-06,자연계 2.21 수시 산업공학과
372,4,2021-08-31,갑자기 산업공학과 급꼴리는데
373,4,2020-03-25,산업공학과 컷 은근 높다던데
374,4,2021-04-13,성대 산업공학과 vs 기계공학과 vs 화학공학과
375,4,2021-04-06,산업공학과도 보통 주말에 싱험실 나가는 편임?
376,4,2019-02-11,아주대 산업공학과 산공
377,4,2019-01-20,내친구 경희국제 산업공학과 버리고 건대 유기나노갔다
378,4,2020-03-20,산업공학과는 공기업 어떤 직무로 들어가야하냐 ㅆㅂ
379,4,2021-01-04,근데 산업공학과 그 자체로 매력적인듯
380,4,2020-04-20,통계는 좆도 모르는 산업공학과 나부랭이 이경전
381,4,2019-12-06,천안캠 에너지공학과 vs 산업공학과
382,4,2021-04-22,과기대 산업공학과 편입하고 싶은데 전문대 전과할까?
383,4,2019-12-09,안전및산업경영공학과 어떤지 자세하게 알려주라...
384,4,2019-08-24,신소재공학과 vs 산업공학과
385,4,2021-10-10,산업공학과 vs 산업디자인과
386,4,2019-01-08,쪼현 대림대 산업공학과 다니는거 
387,4,2020-01-04,과기대 토익915 산업공학과 수학 넉넉잡아 실수포함해서 10개틀린거 같은
388,4,2019-02-14,아주대 산업공학과 예비 1번에게...
389,4,2019-04-04,산업공학과 전문성이 없어서 기계로 왔는데
390,4,2020-09-12,올해 산업공학과에서 컴공으로 전과해야겠다
391,4,2019-02-14,아주대 산업공학과 마지막글이다 (일반)
392,4,2020-01-14,산업공학과는 원래 하위권아님??
393,4,2020-05-13,건국대 산업공학과 아웃풋 지리고 감
394,4,2021-11-15,컴공vs산업공학과
395,4,2019-12-12,진지함} 아주대 산업공학과vs과기대 msde
